,опыт работы,регион,пол,возраст,образование,вуз,язык,занятость,желаемая з/п,Последнее место работы
471,11 лет,Мариуполь,Мужчина,35 лет,Высшее образование,Курс Архитектура мобильных игр на UNITY для профессионалов,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",1 000 $ на руки,Сентябрь 2022 — по настоящее время1 год 9 месяцев
472,15 лет,Ярославль,Женщина,38 лет,Высшее образование,"Северный (Арктический) федеральный университет им. М.В. Ломоносова, Архангельск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Июнь 2011 — по настоящее время13 лет
473,18 years,Moscow,Male,42 years,Higher education,HASSO-PLATTNER INSTITUTE (GERMANY),Russian — Native English — C2 — Proficiency German — A1 — Basic,Employment: full time,80 000 ₽ in hand,February 2013 — currently11 years 4 months
474,10 месяцев,Москва,Мужчина,31 год,Высшее образование,"Московский государственный университет им. М.В. Ломоносова, Москва",Русский — Родной Английский — C1 — Продвинутый Немецкий — A1 — Начальный,Занятость: полная занятость,60 000 ₽ на руки,Октябрь 2014 — Май 20158 месяцев
475,1 год,Владивосток,Мужчина,38 лет,Среднее специальное образование,ВПУ-9,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, стажировка",20 000 ₽ на руки,Сентябрь 2015 — Декабрь 20154 месяца
476,22 года,Тверь,Мужчина,50 лет,Высшее образование,"Тверской государственный технический университет, Тверь",Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость",87 000 ₽ на руки,Февраль 2017 — по настоящее время7 лет 4 месяца
477,22 года,Москва,Мужчина,43 года,Высшее образование,"Юго-Западный государственный университет, Курск",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",180 000 ₽ на руки,Январь 2023 — по настоящее время1 год 5 месяцев
478,10 месяцев,Тамбов,Женщина,34 года,Среднее специальное образование,тамбовский бизнес-колледж,Русский — Родной,Занятость: полная занятость,10 000 ₽ на руки,Май 2010 — Июль 20103 месяца
479,30 лет,Химки,Мужчина,54 года,Среднее специальное образование,ХМТ (Химкинский механический техникум),Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",120 000 ₽ на руки,Февраль 2021 — Февраль 20232 года 1 месяц
480,3 года,Иркутск,Мужчина,26 лет,Среднее специальное образование,ИРНИТУ,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Апрель 2022 — по настоящее время2 года 2 месяца
481,7 лет,Пермь,Мужчина,30 лет,Образование,,Русский — Родной,Занятость: полная занятость,40 000 ₽ на руки,Август 2016 — по настоящее время7 лет 10 месяцев
482,12 лет,Киров (Кировская область),Мужчина,36 лет,Неоконченное высшее образование,"Филиал Московского университета государственного управления, Киров",Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа",30 000 ₽ на руки,Апрель 2012 — по настоящее время12 лет 2 месяца
483,6 лет,Москва,Мужчина,38 лет,Высшее образование,"Амурский государственный университет, Благовещенск (Амурская область)",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",60 000 ₽ на руки,Февраль 2017 — Август 20192 года 7 месяцев
484,17 лет,Самара,Мужчина,38 лет,Высшее образование,СГАУ,Английский — A1 — Начальный Немецкий — A1 — Начальный,Занятость: полная занятость,25 000 ₽ на руки,Январь 2009 — по настоящее время15 лет 5 месяцев
485,11 лет,Калининград,Мужчина,36 лет,Высшее образование,"Московский государственный университет экономики, статистики и информатики (Калининградский филиал)",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,30 000 ₽ на руки,Январь 2013 — по настоящее время11 лет 5 месяцев
486,12 лет,Краснодар,Мужчина,37 лет,Высшее образование,"Кубанский государственный технологический университет, Краснодар",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,150 000 ₽ на руки,Ноябрь 2017 — по настоящее время6 лет 7 месяцев
487,16 лет,Пенза,Мужчина,62 года,Среднее образование,Средняя школа №7,Русский — Родной,Занятость: полная занятость,50 000 ₽ на руки,Июль 2016 — по настоящее время7 лет 11 месяцев
488,24 года,Москва,Мужчина,45 лет,Высшее образование,"Московский инженерно-физический институт, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",200 000 ₽ на руки,Сентябрь 2018 — по настоящее время5 лет 9 месяцев
489,2 года,Москва,Мужчина,27 лет,Высшее образование,"Томский государственный университет систем управления и радиоэлектроники, Томск",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",300 000 ₸ на руки,Ноябрь 2022 — по настоящее время1 год 7 месяцев
490,5 лет,Омск,Мужчина,25 лет,Высшее образование,"Омский государственный университет путей сообщения, Омск",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,35 000 ₽ на руки,Август 2018 — по настоящее время5 лет 10 месяцев
491,10 years,Krasnodar,Male,46 years,Incomplete higher education,"Российский химико-технологический университет им. Д.И. Менделеева, Москва",Russian — Native English — B1 — Intermediate,"Employment: full time, part time, project work",120 000 ₽ in hand,November 2020 — July 20232 years 9 months
492,5 лет,Москва,Мужчина,26 лет,Высшее образование,"Российский государственный университет туризма и сервиса, Москва",Русский — Родной,Занятость: полная занятость,80 000 ₽ на руки,Июль 2018 — по настоящее время5 лет 11 месяцев
493,15 лет,Нижний Новгород,Мужчина,37 лет,Высшее образование,ННГУ им. Лобачевского,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",20 000 ₽ на руки,Октябрь 2021 — по настоящее время2 года 8 месяцев
494,23 года,Москва,Мужчина,48 лет,Высшее образование,Высшее Московский Инженерно Физический Институт,Русский — Родной Английский — C2 — В совершенстве,Занятость: полная занятость,100 000 ₽ на руки,Март 2018 — по настоящее время6 лет 3 месяца
495,10 лет,Ростов-на-Дону,Мужчина,35 лет,Высшее образование (Бакалавр),"Ростовский государственный экономический университет (РИНХ), Ростов-на-Дону",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,100 000 ₽ на руки,Январь 2018 — по настоящее время6 лет 5 месяцев
496,7 лет,Донецк,Мужчина,47 лет,Высшее образование,"Макеевский экономико-гуманитарный институт, Макеевка",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,Занятость: проектная работа,10 000 ₴ на руки,Январь 2017 — по настоящее время7 лет 5 месяцев
497,4 месяца,Новосибирск,Мужчина,33 года,Высшее образование,"Новосибирский государственный архитектурно-строительный университет (Сибстрин), Новосибирск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,25 000 ₽ на руки,Ноябрь 2014 — Февраль 20154 месяца
498,17 лет,Ярославль,Женщина,37 лет,Неоконченное высшее образование,Ярославский госудаоственный университет им.П.Г. Демидова,Русский — B2 — Средне-продвинутый,Занятость: полная занятость,18 000 ₽ на руки,Январь 2008 — по настоящее время16 лет 5 месяцев
499,10 лет,Москва,Мужчина,32 года,Высшее образование,Московский государственный университет леса,Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка",150 000 ₽ на руки,Декабрь 2021 — по настоящее время2 года 6 месяцев
500,13 лет,Псков,Мужчина,42 года,Высшее образование,"РГГУ, МПТ",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",130 000 ₽ на руки,Май 2015 — Декабрь 20172 года 8 месяцев
501,11 лет,Даниловка,Мужчина,,Высшее образование,"Волгоградский государственный технический университет, Волгоград",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",100 000 ₽ на руки,Сентябрь 2020 — по настоящее время3 года 9 месяцев
502,7 месяцев,Набережные Челны,Мужчина,31 год,Неоконченное высшее образование,"Казанский (Приволжский) федеральный университет, Казань",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,Ноябрь 2013 — Март 20145 месяцев
503,4 года,Стерлитамак,Мужчина,28 лет,Высшее образование,"Донецкий национальный технический университет, Донецк",Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость, проектная работа",30 000 ₽ на руки,Июль 2019 — по настоящее время4 года 11 месяцев
504,2 years,Nakhodka,Male,21 year,Incomplete higher education,"Новосибирский государственный технический университет, Новосибирск",Russian — Native English — B1 — Intermediate,"Employment: full time, part time",2 500 € in hand,July 2021 — currently2 years 11 months
505,8 лет,Пермь,Мужчина,29 лет,Высшее образование (Кандидат наук),"Пермский национальный исследовательский политехнический университет, Пермь",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",180 000 ₽ на руки,Август 2019 — по настоящее время4 года 10 месяцев
506,2 года,Можга,Мужчина,34 года,Высшее образование,"Ижевский государственный технический университет им. М.Т. Калашникова, Ижевск",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Июнь 2013 — Октябрь 20141 год 5 месяцев
507,9 лет,Курск,Мужчина,31 год,Высшее образование,"Филиал Дальневосточного федерального университета, Петропавловск-Камчатский",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",130 000 ₽ на руки,Декабрь 2016 — по настоящее время7 лет 6 месяцев
508,11 лет,Ижевск,Мужчина,28 лет,Неоконченное высшее образование,"Удмуртский государственный университет, Ижевск",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка",22 000 ₽ на руки,Январь 2013 — по настоящее время11 лет 5 месяцев
509,21 год,Сланцы,Мужчина,64 года,Высшее образование,Кишиневский политехнический институт,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Март 2016 — по настоящее время8 лет 3 месяца
510,9 лет,Москва,Мужчина,29 лет,Высшее образование,"Саратовский государственный технический университет им. Ю.А. Гагарина, Саратов",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,150 000 ₽ на руки,Апрель 2019 — по настоящее время5 лет 2 месяца
511,7 лет,Тольятти,Мужчина,30 лет,Среднее специальное образование,Тольяттинский Колледж Сервисных Технологий и Предпринимательства,Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,15 000 ₽ на руки,Май 2017 — по настоящее время7 лет 1 месяц
512,6 лет,Москва,Мужчина,31 год,Высшее образование,microsoft innovation center,Русский — Родной Английский — B1 — Средний,"Занятость: частичная занятость, проектная работа",1 500 € на руки,Декабрь 2019 — по настоящее время4 года 6 месяцев
513,12 years,Moscow,Male,,Incomplete higher education,"Московский авиационный институт (национальный исследовательский университет), Москва",Russian — Native English — B1 — Intermediate,"Employment: part time, project work",449 000 ₽ in hand,June 2021 — currently3 years
514,9 лет,Оренбург,Мужчина,31 год,Высшее образование (Магистр),"Оренбургский государственный университет, Оренбург",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,150 000 ₽ на руки,Сентябрь 2015 — по настоящее время8 лет 9 месяцев
515,12 лет,Обнинск,Мужчина,50 лет,Высшее образование,"Московский государственный университет леса, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",400 000 ₽ на руки,Март 2021 — по настоящее время3 года 3 месяца
516,1 год,Королев,Мужчина,30 лет,Неоконченное высшее образование,АГПУ-Армянский государственный педагогический университет,Английский — A1 — Начальный Армянский — C2 — В совершенстве Русский — A1 — Начальный,Занятость: полная занятость,45 000 ₽ на руки,Сентябрь 2014 — Май 20161 год 9 месяцев
517,22 года,Москва,Женщина,53 года,Высшее образование,"Национальный исследовательский ядерный университет ""МИФИ"", Москва",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, стажировка",80 000 ₽ на руки,Январь 2013 — по настоящее время11 лет 5 месяцев
518,1 год,Екатеринбург,Мужчина,23 года,Образование,Тинькофф Финтех,Русский — Родной Английский — B2 — Средне-продвинутый Французский — B1 — Средний Чешский — A1 — Начальный,Занятость: полная занятость,60 000 ₽ на руки,Сентябрь 2018 — Март 20197 месяцев
519,4 года,Липецк,Мужчина,25 лет,Высшее образование (Магистр),"Липецкий государственный технический университет, Липецк",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа",65 000 ₽ на руки,Август 2019 — по настоящее время4 года 10 месяцев
520,3 года,Новосибирск,Мужчина,,Высшее образование,"Новосибирский государственный технический университет, Новосибирск",Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Август 2020 — по настоящее время3 года 10 месяцев
521,11 лет,Санкт-Петербург,Мужчина,35 лет,Высшее образование,"Ленинградский государственный университет им. А.С. Пушкина, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка",230 000 ₽ на руки,Сентябрь 2019 — по настоящее время4 года 9 месяцев
522,16 лет,Москва,Мужчина,36 лет,Высшее образование,"Московский государственный технический университет радиотехники, электроники и автоматики, Москва",Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,140 000 ₽ на руки,Июнь 2015 — по настоящее время9 лет
523,5 лет,Новосибирск,Мужчина,30 лет,Высшее образование (Бакалавр),"Новосибирский государственный технический университет, Новосибирск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,200 000 ₽ на руки,Декабрь 2020 — по настоящее время3 года 6 месяцев
524,21 год,Королев,Мужчина,48 лет,Высшее образование,"Воронежский государственный технический университет, Воронеж",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,Занятость: полная занятость,150 000 ₽ на руки,Январь 2019 — по настоящее время5 лет 5 месяцев
525,14 лет,Владивосток,Мужчина,35 лет,Высшее образование,"Дальневосточный федеральный университет, Владивосток",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Январь 2010 — по настоящее время14 лет 5 месяцев
526,16 лет,Ижевск,Мужчина,39 лет,Высшее образование,"Удмуртский государственный университет, Ижевск",Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость",300 000 ₽ на руки,Декабрь 2022 — по настоящее время1 год 6 месяцев
527,22 года,Москва,Мужчина,53 года,Высшее образование,"Московский государственный университет им. М.В. Ломоносова, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,100 000 ₽ на руки,Сентябрь 2017 — Ноябрь 20173 месяца
528,9 лет,Череповец,Мужчина,29 лет,Образование,,Русский — Родной,Занятость: полная занятость,150 000 ₽ на руки,Март 2020 — по настоящее время4 года 3 месяца
529,,Зимовники,Мужчина,35 лет,Среднее специальное образование,НТТИ,Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, проектная работа",70 000 ₽ на руки,2016
530,24 года,Москва,Мужчина,75 лет,Высшее образование,Иркутский Государственный Университет,Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,Май 2006 — по настоящее время18 лет 1 месяц
531,4 года,Одинцово,Мужчина,35 лет,Среднее специальное образование,"НОУ СПО ""МОКИТ""",Русский — Родной,Занятость: полная занятость,80 000 ₽ на руки,Февраль 2012 — Февраль 20164 года 1 месяц
532,1 год,Санкт-Петербург,Мужчина,26 лет,Высшее образование (Магистр),"Санкт-Петербургский государственный университет аэрокосмического приборостроения, Санкт-Петербург",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,100 000 ₽ на руки,Ноябрь 2023 — по настоящее время7 месяцев
533,2 года,Москва,Мужчина,37 лет,Высшее образование,Орловкий Государственный Унивеситет,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,30 000 ₽ на руки,Март 2009 — Февраль 20101 год
534,5 лет,Тюмень,Мужчина,24 года,Высшее образование (Магистр),"Тюменский государственный университет, Тюмень",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, проектная работа",150 000 ₽ на руки,Июль 2021 — по настоящее время2 года 11 месяцев
535,37 лет,Красноярск,Мужчина,62 года,Высшее образование,"Красноярский государственный университет, Красноярск",Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость, проектная работа",120 000 ₽ на руки,Июль 2017 — по настоящее время6 лет 11 месяцев
536,4 года,Санкт-Петербург,Мужчина,24 года,Неоконченное высшее образование,ВоГУ,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,80 000 ₽ на руки,Сентябрь 2021 — по настоящее время2 года 9 месяцев
537,17 лет,Москва,Мужчина,38 лет,Высшее образование,МИЭМ,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,200 000 ₽ на руки,Май 2018 — по настоящее время6 лет 1 месяц
538,6 лет,Иркутск,Мужчина,23 года,Высшее образование,"Иркутский государственный университет, Иркутск",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",45 000 ₽ на руки,Декабрь 2018 — по настоящее время5 лет 6 месяцев
539,1 год,Комсомольск-на-Амуре,Мужчина,35 лет,Высшее образование,АмГПГУ,Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Август 2009 — Июль 20101 год
540,4 года,Омск,Мужчина,25 лет,Среднее специальное образование,Омский авиационный Колледж имени Жуковского,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,40 000 ₽ на руки,Март 2023 — по настоящее время1 год 3 месяца
541,4 месяца,Черемхово,Женщина,28 лет,Среднее специальное образование,ЧГТК,Русский — Родной,"Занятость: полная занятость, частичная занятость, стажировка",15 000 ₽ на руки,Январь 2018 — Февраль 20182 месяца
542,,Екатеринбург,Мужчина,32 года,Среднее образование,МОУ СОШ №105,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,25 000 ₽ на руки,2009
543,6 лет,Москва,Мужчина,47 лет,Среднее специальное образование,Нет спец образования,Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",50 000 ₽ на руки,Октябрь 2018 — по настоящее время5 лет 8 месяцев
544,15 лет,Санкт-Петербург,Мужчина,37 лет,Высшее образование,УГАТУ (Уфимский государственный авиационный технический университет),Английский — B2 — Средне-продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Февраль 2011 — по настоящее время13 лет 4 месяца
545,4 года,Москва,Женщина,46 лет,Высшее образование,Лицей 17,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,30 000 ₽ на руки,Февраль 2004 — Апрель 20043 месяца
546,4 года,Санкт-Петербург,Мужчина,34 года,Высшее образование,"Восточно-Сибирский государственный университет технологий и управления, Улан-Удэ",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,50 000 ₽ на руки,Август 2014 — Июль 20151 год
547,6 лет,Оренбург,Мужчина,28 лет,Среднее специальное образование,Адамовский сельхоз хозяйственный Техникум,Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Февраль 2018 — по настоящее время6 лет 4 месяца
548,31 год,Москва,Мужчина,53 года,Высшее образование,•	Московский Энергетический Институт,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,60 000 ₽ на руки,Февраль 2003 — по настоящее время21 год 4 месяца
549,8 лет,Сыктывкар,Мужчина,27 лет,Высшее образование (Бакалавр),"Сыктывкарский государственный университет, Сыктывкар",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, проектная работа, стажировка",25 000 ₽ на руки,Январь 2017 — по настоящее время7 лет 5 месяцев
550,8 years,Saint Petersburg,Female,30 years,Higher education,"Астраханский государственный технический университет, Астрахань",Russian — Native English — B2 — Upper Intermediate,"Employment: full time, part time",150 000 ₽ in hand,June 2022 — currently2 years
551,6 лет,Щелково,Мужчина,25 лет,Среднее образование,Школа № 114,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,150 000 ₽ на руки,Январь 2021 — по настоящее время3 года 5 месяцев
552,3 года,Балашиха,Мужчина,47 лет,Неоконченное высшее образование,"Российский государственный аграрный заочный университет, Москва",Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",50 000 ₽ на руки,Октябрь 2020 — по настоящее время3 года 8 месяцев
553,25 лет,Самара,Мужчина,47 лет,Высшее образование,"Самарский государственный технический университет, Самара",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,90 000 ₽ на руки,Май 2019 — по настоящее время5 лет 1 месяц
554,10 лет,Москва,Мужчина,65 лет,Высшее образование,МИФИ -- Московский инженерно-физический институт,Английский — B2 — Средне-продвинутый,Занятость: полная занятость,90 000 ₽ на руки,Январь 2017 — Февраль 20181 год 2 месяца
555,11 месяцев,Краснодар,Мужчина,20 лет,Образование,,Русский — Родной,Занятость: полная занятость,500 $ на руки,Сентябрь 2021 — Июль 202211 месяцев
556,11 лет,Санкт-Петербург,Мужчина,54 года,Неоконченное высшее образование,неполное высшее,Русский — Родной Английский — C1 — Продвинутый Украинский — C2 — В совершенстве,Занятость: полная занятость,60 000 ₽ на руки,Июнь 2017 — Февраль 20202 года 9 месяцев
557,4 года,Сочи,Мужчина,24 года,Высшее образование,"Челябинский государственный университет, Челябинск",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,140 000 ₽ на руки,Август 2021 — по настоящее время2 года 10 месяцев
558,8 лет,Москва,Мужчина,30 лет,Неоконченное высшее образование,"Московский государственный институт международных отношений Министерства иностранных дел Российской Федерации, Москва",Русский — Родной Английский — C2 — В совершенстве,Занятость: полная занятость,80 000 ₽ на руки,Сентябрь 2017 — по настоящее время6 лет 9 месяцев
559,4 years,Moscow,Male,29 years,Secondary special education,VSPJ,Russian — Native Czech — B2 — Upper Intermediate English — B1 — Intermediate,Employment: full time,1 500 $ in hand,October 2020 — currently3 years 8 months
560,15 лет,Санкт-Петербург,Мужчина,40 лет,Высшее образование,"Санкт-Петербургский государственный политехнический университет, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,80 000 ₽ на руки,Июль 2015 — по настоящее время8 лет 11 месяцев
561,8 лет,Москва,Мужчина,46 лет,Высшее образование,МЭСИ,Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Август 2001 — Февраль 20108 лет 7 месяцев
562,3 года,Краснодар,Мужчина,24 года,Высшее образование (Бакалавр),"Санкт-Петербургский государственный университет аэрокосмического приборостроения, Санкт-Петербург",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",80 000 ₽ на руки,Ноябрь 2022 — по настоящее время1 год 7 месяцев
563,9 лет,Воронеж,Мужчина,30 лет,Высшее образование (Бакалавр),"Воронежский государственный университет, Воронеж",Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,180 000 ₽ на руки,Сентябрь 2019 — по настоящее время4 года 9 месяцев
564,4 года,Уфа,Мужчина,65 лет,Среднее специальное образование,ТТЖТ,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,70 000 ₽ на руки,Апрель 2010 — Декабрь 20144 года 9 месяцев
565,5 лет,Иркутск,Мужчина,31 год,Неоконченное высшее образование,"Национальный исследовательский Иркутский государственный технический университет, Иркутск",Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка",70 000 ₽ на руки,Март 2022 — по настоящее время2 года 3 месяца
566,31 год,Москва,Мужчина,54 года,Высшее образование,"Московский Институт Радиотехники, Электроники и Автоматики",Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый,Занятость: полная занятость,80 000 ₽ на руки,Май 2004 — по настоящее время20 лет 1 месяц
567,2 месяца,Курган,Мужчина,36 лет,Неоконченное высшее образование,"Челябинский государственный университет, Челябинск",Русский — Родной,"Занятость: частичная занятость, проектная работа",20 000 ₽ на руки,Февраль 2018 — Март 20182 месяца
568,16 лет,Ярославль,Мужчина,39 лет,Неоконченное высшее образование,Технический институт филиал Якутского Государственного Университета,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",1 ₽ на руки,Декабрь 2021 — по настоящее время2 года 6 месяцев
569,8 лет,Бийск,Мужчина,42 года,Образование,,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",50 000 ₽ на руки,Июнь 2016 — Январь 20178 месяцев
